pl_name,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_dens,hostname,sy_dist,st_mass,st_spectype,st_lum,st_teff,st_met,st_age
XO-7 b,Transit,2019,0,2.8641424,15.39,225.34147,0.33999999999999997,XO-7,234.149,1.4100000000000001,G0 V,0.431,6250.0,0.432,1.18
HD 184010 d,Radial Velocity,2022,0,836.4,14.3,143.02278,0.26899999999999996,HD 184010,60.7993,1.35,K0 III-IV,1.117,4971.0,-0.17,2.76
Kepler-1643 b,Transit,2016,0,5.342657,2.32,5.99,2.64,Kepler-1643,341.774,0.85,,-0.47200000000000003,4916.0,-0.01,0.046
KOI-7368 b,Transit,2022,0,6.8430344000000005,2.22,5.5600000000000005,2.79,KOI-7368,264.995,0.88,,-0.316,5241.0,0.058,0.036000000000000004
KOI-7913 b,Transit,2022,0,24.278553,2.34,6.08,2.61,KOI-7913 A,271.277,0.76,K6 V,-0.768,4324.0,-0.06,0.036000000000000004
Kepler-1645 b,Transit,2016,0,16.1779561,1.78,3.8200000000000003,3.7199999999999998,Kepler-1645,1202.47,1.02,,0.336,5812.0,0.04,4.17
Kepler-20 f,Transit,2011,0,19.57758478,1.003,14.3,,Kepler-20,282.563,0.9500000000000001,,-0.165,5495.0,0.07,7.6
Kepler-202 c,Transit,2014,0,16.282493,1.85,4.08,3.54,Kepler-202,285.111,0.68,,-0.638,4668.0,-0.263,3.24
Kepler-264 b,Transit,2014,0,40.806231,3.33,11.1,1.65,Kepler-264,942.173,1.46,,0.6890000000000001,6158.0,0.047,2.5700000000000003
Kepler-166 d,Transit,2016,0,1.55400393,1.73,3.64,3.86,Kepler-166,603.53,0.88,,-0.385,5350.0,-0.03,4.47
Kepler-213 b,Transit,2014,0,2.46236,1.62,3.26,4.21,Kepler-213,634.939,1.07,,0.082,5696.0,0.157,1.62
Kepler-278 c,Transit,2014,0,51.078775,3.59,12.6,1.5,Kepler-278,443.03,1.08,,0.62,4991.0,0.271,7.76
Kepler-280 b,Transit,2014,0,2.139542,1.45,2.7,4.87,Kepler-280,780.361,0.96,,-0.064,5744.0,0.121,4.27
Kepler-264 c,Transit,2014,0,140.101261,2.83,8.4,2.04,Kepler-264,942.173,1.46,,0.6890000000000001,6158.0,0.047,2.5700000000000003
Kepler-231 b,Transit,2014,0,10.065275,1.73,35.4,37.6,Kepler-231,316.618,0.58,M1 V,-1.036,3767.0,-0.1,3.47
Kepler-233 c,Transit,2014,0,60.418955,2.71,7.8,2.15,Kepler-233,856.417,0.85,,-0.328,5360.0,-0.09,0.6
Kepler-223 e,Transit,2014,0,19.72567,4.6,4.8,0.27999999999999997,Kepler-223,1859.71,1.12,,0.371,5803.0,0.19,7.2
